nombre,precio,precio_descuento,imagen,código,descripción,condiciones,url_producto
MERCADO LIBRE 🔥 - Hasta 45% OFF,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2025/05/Logo-ML-fondo-blanco-02.jpg,https://promociones.mercadopago.com.ar/seller/mercado-libre-%f0%9f%94%a5/,¡Aprovechá Hasta 45% OFF y Hasta 18 cuotas sin interés en Mercado Libre!,Vigencia: Válido del 11 al 17 de mayo | Tipo: descuento,https://promociones.mercadopago.com.ar/seller/mercado-libre-%f0%9f%94%a5/
Farmacity - 2x1,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2025/05/Logo-FarmacityCom-600x600-2.jpg,https://promociones.mercadopago.com.ar/seller/farmacity/,¡Aprovechá el 2x1 acumulable con hasta 3 cuotas sin interés desde $70.000 en la tienda online!,Vigencia: Válido del 13 al 17 de mayo | Tipo: 2x1 | Explorá nuestras categorías elegidas Nyx ¡Exclusivo! Mes de la piel Bienestar Sexual Cuidado Personal ¡Re Stockeate! Mundo Bebé ¡Hasta -55%! Mascaras de Pestañas ¡Hasta 45%! Labiales Bases & Correctores ¡Hasta 50%! Limpieza y Desinfección Papeles y Pañuelitos ¡Temporada!,https://promociones.mercadopago.com.ar/seller/farmacity/
Aerolíneas Argentinas - Hasta 20% OFF,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2026/05/LOGO-AEROLINEAS-ARGENTINAS.jpg,https://promociones.mercadopago.com.ar/seller/aerolineas-argentinas/,¡Aprovechá 20% OFF con dinero en cuenta!,Vigencia: Válido del 14 al 17 de mayo. Tope de reintegro $30.000. Aplica a vuelos desde el 21/05 al 30/06 y desde el 01/08 al 30/11 | Tipo: descuento,https://promociones.mercadopago.com.ar/seller/aerolineas-argentinas/
MOVISTAR,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2023/11/500x500-2.png,https://promociones.mercadopago.com.ar/seller/movistar/,¡Aprovechá hasta 18 cuotas sin interés en la tienda online!,Vigencia: Válido del 11 al 17 de mayo. Consultar artículos seleccionados. | Tipo: cuotas sin interés,https://promociones.mercadopago.com.ar/seller/movistar/
DESPEGAR - Hasta 15% OFF,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2024/11/logo-despegar_400x400-e1554319220924-300x211-1.png,https://promociones.mercadopago.com.ar/seller/despegar-2/,"¡Aprovechá hasta 15% OFF en paquetes con LATAM, vuelos con Sky, vuelos a Brasil con Aerolíneas Argentinas y paquetes con Gol!",Vigencia: Válido del 11 al 17 de mayo. Consultar bases y condiciones en el sitio online de Despegar. | Tipo: descuento,https://promociones.mercadopago.com.ar/seller/despegar-2/
OnCity,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2025/05/ONCITY-logo-vertical-rgb_png-Tomas-Borgeat.png,https://promociones.mercadopago.com.ar/seller/oncity/,¡Aprovechá hasta 12 cuotas sin interés en la tienda online!,Vigencia: Válido del 11 al 17 de mayo en artículos seleccionados. | Tipo: cuotas sin interés,https://promociones.mercadopago.com.ar/seller/oncity/
SONY - Hasta 61% OFF,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2024/05/Logo-Sony-blanco-Gisela-Charlin.jpg,https://promociones.mercadopago.com.ar/seller/sony/,¡Aprovechá hasta 61% OFF y hasta 6 cuotas sin interés en la tienda online!,Vigencia: Válido del 11 al 17 de mayo | Tipo: descuento,https://promociones.mercadopago.com.ar/seller/sony/
COMPRA GAMER - 20% OFF,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2024/05/logo-CG-Juan.jpg,https://promociones.mercadopago.com.ar/seller/compra-gamer/,¡Aprovecha 20% OFF con Cuotas sin Tarjeta y hasta 3 cuotas sin interés en la tienda online!,Vigencia: Válido del 11 al 17 de mayo | Tipo: descuento,https://promociones.mercadopago.com.ar/seller/compra-gamer/
FARMAONLINE - 2x1,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2023/11/Farmaonline-negro-300x300px-Cecilia-Rusconi.jpg,https://promociones.mercadopago.com.ar/seller/farmaonline/,¡Aprovechá el 2x1 y hasta 6 cuotas sin interés! Además tenes 20% OFF Extra y 3 cuotas sin Tarjeta o 20% OFF Extra con Tarjeta de Mercado Pago con tus compras a partir de $80.000 los días martes y jueves en la tienda online!,Vigencia: Válido del 11 al 17 de mayo | Tipo: 2x1,https://promociones.mercadopago.com.ar/seller/farmaonline/
LA PARFUMERIE,,,https://promociones.mercadopago.com.ar/wp-content/uploads/2026/05/665895-MLA72061819506_102023-O.jpg,https://promociones.mercadopago.com.ar/seller/parfumerie/,¡Aprovecha hasta 12 cuotas sin interés en la tienda online!,Vigencia: Válido del 11 al 17 de mayo | Tipo: cuotas sin interés,https://promociones.mercadopago.com.ar/seller/parfumerie/
